1;Anna;Müller;Berlin;19.05.18;Premium;20
2;Max;Schmidt;Hamburg;01.01.22;Basic;10
3;Lena;Schneider;München;12.11.13;Premium;40
4;Paul;Fischer;Köln;13.08.12;Premium;20
5;Laura;Weber;Frankfurt am Main;08.01.17;Premium;20
6;Tim;Wagner;München;10.10.14;Premium;40
7;Sophie;Becker;Stuttgart;21.09.23;Basic;10
8;Jonas;Hoffmann;Düsseldorf;19.09.12;Premium;20
9;Marie;Schäfer;München;14.06.15;Premium;40
10;Leon;Koch;Bremen;09.05.22;Basic;10
11;Clara;Bauer;Hannover;10.10.25;Basic;10
12;Felix;Richter;München;04.09.22;Basic;30
13;Julia;Klein;Nürnberg;26.02.24;Basic;10
14;Noah;Wolf;Dortmund;06.02.12;Premium;20
15;Emma;Neumann;München;21.07.16;Premium;40
16;Elias;Schwarz;Essen;19.05.18;Premium;20
17;Mia;Braun;Leipzig;22.01.25;Basic;10
18;Luca;Hartmann;München;19.12.14;Premium;40
19;Amelie;Lange;Dresden;21.09.19;Basic;10
20;David;Schmitt;Bonn;25.07.13;Premium;20
21;Johanna;Werner;München;28.05.25;Basic;30
22;Philipp;Krause;Mannheim;21.09.18;Premium;20
23;Luisa;Maier;Augsburg;03.06.12;Premium;20
24;Tom;Huber;München;27.09.25;Basic;30
25;Clara;Fuchs;Wiesbaden;22.07.17;Premium;20
26;Jan;Peters;München;23.06.13;Premium;40
27;Isabell;Scholz;Bielefeld;07.10.15;Premium;20
28;Matthias;Moser;München;09.04.19;Basic;30
29;Helena;Seidel;Karlsruhe;23.01.13;Premium;20
30;Daniel;Engel;München;03.05.19;Basic;30
31;Franziska;Bergmann;München;05.11.20;Basic;30
32;Markus;Schreiber;München;19.03.17;Premium;40
33;Carolin;Schuster;München;03.09.14;Premium;40
34;Stefan;Jäger;München;19.01.13;Premium;40
35;Antonia;Keller;München;20.05.12;Premium;40
36;Johannes;Schramm;München;25.09.25;Basic;30
37;Veronika;Voigt;München;07.06.12;Premium;40
38;Simon;Arnold;München;25.11.18;Premium;40
39;Melanie;Busch;München;15.10.22;Basic;30
40;Patrick;Kirchner;München;25.03.14;Premium;40
41;Isabel;Franke;Berlin;05.12.19;Basic;10
42;Oliver;Albrecht;Hamburg;06.04.24;Basic;10
43;Vanessa;Brandt;Köln;19.09.22;Basic;10
44;Christian;Heinrich;Frankfurt am Main;27.04.22;Basic;10
45;Nina;Simon;Stuttgart;03.06.15;Premium;20
46;Robert;Beck;Düsseldorf;28.06.18;Premium;20
47;Carina;Ott;Bremen;03.11.18;Premium;20
48;Michael;Ludwig;Hannover;23.03.13;Premium;20
49;Sarah;Heinz;Nürnberg;01.09.25;Basic;10
50;Johann;Ulrich;Dortmund;01.09.16;Premium;20
51;Leonie;Reuter;Bielefeld;14.12.23;Basic;10
52;Andreas;Schindler;Essen;09.05.19;Basic;10
53;Helene;Link;Bielefeld;25.06.16;Premium;20
54;Martin;Weiss;Stuttgart;05.08.18;Premium;20
55;Claudia;Schubert;Karlsruhe;11.08.15;Premium;20
56;Alexander;Barth;Dortmund;14.09.15;Premium;20
57;Petra;Schröder;Düsseldorf;24.05.11;Premium;20
58;Thorsten;Reinhardt;Mannheim;14.06.22;Basic;10
59;Anja;Paulsen;Düsseldorf;06.08.11;Premium;20
60;Holger;Heinemann;Nürnberg;11.07.19;Basic;10
61;Katja;Schlegel;Köln;06.10.25;Basic;10
62;Georg;Behrens;Bonn;25.01.16;Premium;20
63;Marina;Schütte;Nürnberg;19.06.23;Basic;10
64;Dirk;Hein;Mannheim;23.06.15;Premium;20
65;Heike;Schiller;Düsseldorf;14.09.23;Basic;10
66;Ulrich;Schrader;Düsseldorf;12.04.13;Premium;20
67;Kristin;Becker;Berlin;12.09.25;Basic;10
68;Marco;Schreiner;Bonn;18.09.17;Premium;20
69;Stefanie;Schütz;Stuttgart;25.11.20;Basic;10
70;Johannes;Schramme;Karlsruhe;18.01.15;Premium;20
71;Corinna;Ulmer;Hannover;13.12.24;Basic;10
72;Henrik;Beckmann;Leipzig;30.06.24;Basic;10
73;Annelie;Schreiter;Düsseldorf;09.12.22;Basic;10
74;Thomas;Schürmann;Dresden;12.11.16;Premium;20
75;Marcel;Schleicher;Dresden;18.07.14;Premium;20
76;Daniela;Schweiger;Wiesbaden;01.11.22;Basic;10
77;Heinrich;Reich;Stuttgart;04.03.25;Basic;10
78;Carola;Schweitzer;Augsburg;19.05.12;Premium;20
79;Florian;Schürer;Dortmund;12.02.25;Basic;10
80;Jennifer;Schrammel;Essen;09.03.13;Premium;20
81;Steffen;Schramberger;Karlsruhe;07.08.16;Premium;20
82;Marie;Schweizer;Karlsruhe;28.05.20;Basic;10
83;Johanna;Schrammer;Leipzig;06.06.12;Premium;20
84;Peter;Schweighofer;Karlsruhe;07.08.25;Basic;10
85;Annika;Schweikert;Wiesbaden;04.07.13;Premium;20
86;Konstantin;Schürholz;Nürnberg;08.11.16;Premium;20
87;Elena;Schürmann;Düsseldorf;13.07.19;Basic;10
88;Jonas;Schürer;Karlsruhe;15.12.17;Premium;20
89;Helena;Schrammel;Augsburg;19.08.13;Premium;20
90;Patrick;Schürholz;Hannover;03.10.22;Basic;10
91;Laura;Schürer;Nürnberg;07.05.14;Premium;20
92;Michael;Schrammel;Dortmund;23.01.20;Basic;10
93;Julia;Schürholz;München;31.05.11;Premium;40
94;Tim;Schürer;Bremen;17.10.19;Basic;10
95;Clara;Schrammel;Bonn;17.08.17;Premium;20
96;Leon;Schürholz;Karlsruhe;13.09.13;Premium;20
97;Amelie;Schürer;Bremen;13.01.22;Basic;10
98;David;Schrammel;Stuttgart;15.02.23;Basic;10
99;Luisa;Schürholz;Bonn;26.10.24;Basic;10
100;Tom;Schürer;Karlsruhe;06.07.11;Premium;20
101;Isabell;Schrammel;Nürnberg;11.07.23;Basic;10
102;Matthias;Schürholz;Mannheim;23.07.22;Basic;10
103;Daniel;Schürer;Köln;06.02.13;Premium;20
104;Franziska;Schrammel;Dresden;12.09.16;Premium;20
105;Markus;Schürholz;Berlin;13.09.14;Premium;20
106;Carolin;Schürer;Karlsruhe;27.04.11;Premium;20
107;Stefan;Schrammel;Leipzig;22.01.24;Basic;10
108;Antonia;Schürholz;Dortmund;10.09.22;Basic;10
109;Veronika;Schürer;Bielefeld;15.05.12;Premium;20
