1;Anna;Müller;Berlin;19.05.18;Premium
2;Max;Schmidt;Hamburg;01.01.22;Basic
3;Lena;Schneider;München;12.11.13;Premium
4;Paul;Fischer;Köln;13.08.12;Premium
5;Laura;Weber;Frankfurt am Main;08.01.17;Premium
6;Tim;Wagner;München;10.10.14;Premium
7;Sophie;Becker;Stuttgart;21.09.23;Basic
8;Jonas;Hoffmann;Düsseldorf;19.09.12;Premium
9;Marie;Schäfer;München;14.06.15;Premium
10;Leon;Koch;Bremen;09.05.22;Basic
11;Clara;Bauer;Hannover;10.10.25;Basic
12;Felix;Richter;München;04.09.22;Basic
13;Julia;Klein;Nürnberg;26.02.24;Basic
14;Noah;Wolf;Dortmund;06.02.12;Premium
15;Emma;Neumann;München;21.07.16;Premium
16;Elias;Schwarz;Essen;19.05.18;Premium
17;Mia;Braun;Leipzig;22.01.25;Basic
18;Luca;Hartmann;München;19.12.14;Premium
19;Amelie;Lange;Dresden;21.09.19;Basic
20;David;Schmitt;Bonn;25.07.13;Premium
21;Johanna;Werner;München;28.05.25;Basic
22;Philipp;Krause;Mannheim;21.09.18;Premium
23;Luisa;Maier;Augsburg;03.06.12;Premium
24;Tom;Huber;München;27.09.25;Basic
25;Clara;Fuchs;Wiesbaden;22.07.17;Premium
26;Jan;Peters;München;23.06.13;Premium
27;Isabell;Scholz;Bielefeld;07.10.15;Premium
28;Matthias;Moser;München;09.04.19;Basic
29;Helena;Seidel;Karlsruhe;23.01.13;Premium
30;Daniel;Engel;München;03.05.19;Basic
31;Franziska;Bergmann;München;05.11.20;Basic
32;Markus;Schreiber;München;19.03.17;Premium
33;Carolin;Schuster;München;03.09.14;Premium
34;Stefan;Jäger;München;19.01.13;Premium
35;Antonia;Keller;München;20.05.12;Premium
36;Johannes;Schramm;München;25.09.25;Basic
37;Veronika;Voigt;München;07.06.12;Premium
38;Simon;Arnold;München;25.11.18;Premium
39;Melanie;Busch;München;15.10.22;Basic
40;Patrick;Kirchner;München;25.03.14;Premium
41;Isabel;Franke;Berlin;05.12.19;Basic
42;Oliver;Albrecht;Hamburg;06.04.24;Basic
43;Vanessa;Brandt;Köln;19.09.22;Basic
44;Christian;Heinrich;Frankfurt am Main;27.04.22;Basic
45;Nina;Simon;Stuttgart;03.06.15;Premium
46;Robert;Beck;Düsseldorf;28.06.18;Premium
47;Carina;Ott;Bremen;03.11.18;Premium
48;Michael;Ludwig;Hannover;23.03.13;Premium
